Pais_vendedor,industria,2000/Enero,2000/Febrero,2000/Marzo,2000/Abril,2000/Mayo,2000/Junio,2000/Julio,2000/Agosto,2000/Septiembre,2000/Octubre,2000/Noviembre,2000/Diciembre,2001/Enero,2001/Febrero,2001/Marzo,2001/Abril,2001/Mayo,2001/Junio,2001/Julio,2001/Agosto,2001/Septiembre,2001/Octubre,2001/Noviembre,2001/Diciembre,2002/Enero,2002/Febrero,2002/Marzo,2002/Abril,2002/Mayo,2002/Junio,2002/Julio,2002/Agosto,2002/Septiembre,2002/Octubre,2002/Noviembre,2002/Diciembre,2003/Enero,2003/Febrero,2003/Marzo,2003/Abril,2003/Mayo,2003/Junio,2003/Julio,2003/Agosto,2003/Septiembre,2003/Octubre,2003/Noviembre,2003/Diciembre,2004/Enero,2004/Febrero,2004/Marzo,2004/Abril,2004/Mayo,2004/Junio,2004/Julio,2004/Agosto,2004/Septiembre,2004/Octubre,2004/Noviembre,2004/Diciembre,2005/Enero,2005/Febrero,2005/Marzo,2005/Abril,2005/Mayo,2005/Junio,2005/Julio,2005/Agosto,2005/Septiembre,2005/Octubre,2005/Noviembre,2005/Diciembre,2006/Enero,2006/Febrero,2006/Marzo,2006/Abril,2006/Mayo,2006/Junio,2006/Julio,2006/Agosto,2006/Septiembre,2006/Octubre,2006/Noviembre,2006/Diciembre,2007/Enero,2007/Febrero,2007/Marzo,2007/Abril,2007/Mayo,2007/Junio,2007/Julio,2007/Agosto,2007/Septiembre,2007/Octubre,2007/Noviembre,2007/Diciembre,2008/Enero,2008/Febrero,2008/Marzo,2008/Abril,2008/Mayo,2008/Junio,2008/Julio,2008/Agosto,2008/Septiembre,2008/Octubre,2008/Noviembre,2008/Diciembre,2009/Enero,2009/Febrero,2009/Marzo,2009/Abril,2009/Mayo,2009/Junio,2009/Julio,2009/Agosto,2009/Septiembre,2009/Octubre,2009/Noviembre,2009/Diciembre,2010/Enero,2010/Febrero,2010/Marzo,2010/Abril,2010/Mayo,2010/Junio,2010/Julio,2010/Agosto,2010/Septiembre,2010/Octubre,2010/Noviembre,2010/Diciembre,2011/Enero,2011/Febrero,2011/Marzo,2011/Abril,2011/Mayo,2011/Junio,2011/Julio,2011/Agosto,2011/Septiembre,2011/Octubre,2011/Noviembre,2011/Diciembre,2012/Enero,2012/Febrero,2012/Marzo,2012/Abril,2012/Mayo,2012/Junio,2012/Julio,2012/Agosto,2012/Septiembre,2012/Octubre,2012/Noviembre,2012/Diciembre,2013/Enero,2013/Febrero,2013/Marzo,2013/Abril,2013/Mayo,2013/Junio,2013/Julio,2013/Agosto,2013/Septiembre,2013/Octubre,2013/Noviembre,2013/Diciembre,2014/Enero,2014/Febrero,2014/Marzo,2014/Abril,2014/Mayo,2014/Junio,2014/Julio,2014/Agosto,2014/Septiembre,2014/Octubre,2014/Noviembre,2014/Diciembre,2015/Enero,2015/Febrero,2015/Marzo,2015/Abril,2015/Mayo,2015/Junio,2015/Julio,2015/Agosto,2015/Septiembre,2015/Octubre,2015/Noviembre,2015/Diciembre,2016/Enero,2016/Febrero,2016/Marzo,2016/Abril,2016/Mayo,2016/Junio,2016/Julio,2016/Agosto,2016/Septiembre,2016/Octubre,2016/Noviembre,2016/Diciembre,2017/Enero,2017/Febrero,2017/Marzo,2017/Abril,2017/Mayo,2017/Junio,2017/Julio
Asia,Servicios y Productos no Clasificados,6441815,3339454,15984092,9999995,10492719,3903141,6601557,9561609,5429429,6770362,8093966,13757581,2191279,4746676,165840,68132,80728,77712,89730,44613,142594,26287,60106,2932156,106035,211336,950593,478165,774184,4503174,2443613,1014627,5500323,129574,1635922,391562,1311858,1001999,1725812,453784,1164424,1229269,926738,1881313,1426847,1456882,1534720,318808,1050624,791279,960483,463902,645955,1856063,1064121,325976,432206,238246,36039,71173,5941116,33912021,35681270,27743482,25988177,501210,282599,275959,392120,321085,625409,1582372,1244077,644395,916525,349430,1219747,1618426,2954409,1165141,2489745,1054339,1842048,1671915,1163758,854611,1600204,N/D,2140528,1496529,2311050,2398731,4234689,3945744,2635918,1021947,2750961,1694497,2656786,1133649,2225702,3652127,5794613,6013111,6129469,6439479,7624850,7443688,5482479,4236794,6905323,3903543,3705868,3395083,3886367,3339639,4338406,5170914,3449550,4269841,3786952,5339656,5489812,3281578,4670986,6445228,7869195,6500134,5624913,6442880,4100002,3833141,5045339,4005002,7331171,6217402,8883752,10912995,11445646,8092002,10709834,8965625,11995796,7337952,4879207,3682463,2746416,4521347,4795106,6681422,5286958,4728383,8827364,10283537,8459110,7128373,5718888,6738366,5886621,8189187,8487359,37813446,14774922,11234003,10833710,12708750,7909281,2891544,4174580,3340220,6426191,4497928,3380122,3256717,3997785,5198968,4892371,6689042,4682553,7034387,6270321,5177891,6647818,9494115,6896793,6733972,8458471,8483548,9454048,9774118,10830942,8449975,3576142,3538238,3402093,4507827,4798610,4628136,4611830,4889509,5301319,8126103,9190689,6543476,4657588,5931616,5991431,5810103,7918740,12735878,5888741
Asia,"Ganadería, Apicultura, Caza, Pesca",N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,50,N/D,178,200,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D
Asia,( Blank ),N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,504893104,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D
Asia,Clasificación industrial,132746321,83534581,123290096,137141787,158056429,154431402,153406156,170898340,147107488,143019891,142137048,266401723,189883461,180829280,171824210,163005417,168361462,211804964,224198432,224172107,257096238,249001809,250887779,306735384,481079042,471158357,511279839,533020676,669122931,579163670,642691635,555135098,497126375,186583428,175683924,197330905,117652399,126535337,158578114,166769589,185280675,195904023,211462039,154278847,184186631,183145061,177156609,215042664,192408054,207533871,260189559,261336024,261553999,272199064,261771198,300785833,284432422,316029808,384321424,311847356,310823379,332645049,334658414,367859005,346193505,333823059,320887295,410152215,399012755,376407488,417165474,464494486,364443997,321749059,409815057,334315445,413153507,447541198,402090898,423054334,459667478,504541488,516768043,438757186,536189818,468339516,522568321,504893104,522303480,560052812,571553995,532949689,470445059,501079354,520188322,526638955,486436955,475321839,477336014,592680409,566873819,546274807,573620575,489318885,562746688,441074206,480793602,497973752,347399610,310175584,369957760,336408723,360566853,516497706,441022202,467411705,556074710,531913367,610867147,676027071,503378029,514612794,606046402,502433462,568801323,600126246,541770165,608050059,629328287,548949484,593609033,562642528,519686023,564778223,549099620,484579227,614287361,647322388,670689354,857926839,683849634,661778158,790537999,629447699,636373105,531493777,622102192,579756217,682602831,689728543,661676336,698251404,574448300,655958565,618725840,608010779,604264504,591781310,543595826,649586027,681588494,716261476,749496712,778784745,713643446,708888308,650156551,693454663,821059414,788668630,972930233,1002000562,971942981,926336603,1024306764,1094471548,1097311705,1013146910,1009728407,1015378697,920313403,921594943,980589866,1057907860,1042839906,1171453496,1176321749,1092340489,1269823492,1114615819,1055846327,898204660,783733676,938498775,1112539973,1148463071,1148698229,1254998144,1084383482,1296279091,1267719028,1302271025,1246543870,961111846,1008369707,1030984924,1135423581,1160888918,1325230877,1387635968,1159096110
Europa,Industrias Manufactureras,68155262,51230910,59814543,90818427,112212888,90684617,90093142,97441133,104808290,108628257,107522761,122414391,132363436,107987478,171819783,128445204,138847663,135651430,151016018,203073120,138592439,183990254,139680336,126358307,151082339,171751480,124086688,140911018,165137078,154442923,150943785,150458759,152002460,138306284,175136889,152727102,137224703,120250352,145821213,140000135,155180586,165668800,139528620,141685788,146536384,144509681,142601444,181547536,119574950,101113945,125239152,131695873,130566724,152827735,122580719,123438487,122325219,145524542,151525484,157571708,151859723,141905688,153180847,192552749,198483068,221676240,227045438,226990159,215536312,270004237,310605498,257722036,208678822,181805786,223929504,238496458,231067809,215319910,206890795,220474056,250228416,226815719,329712923,269411178,417768067,340403150,383574749,N/D,409881383,399234589,427208694,459182018,390653136,429828296,408072376,293116145,528725889,427007266,410650012,462494893,451253703,422445103,493892714,486487975,522892434,655221844,467365227,512587685,490533422,452978621,406311806,397029275,350548149,417110749,457477542,534700150,515285261,539513308,521650116,559593237,452952533,474341122,555736699,500969658,531150463,601840946,573387784,632429675,585170645,550527073,587529982,657817395,655312179,640021774,674782114,829156891,680526568,616291925,685304985,709291161,679327461,700878744,694577929,721927789,665648495,621609816,609516682,568366404,652288921,629098234,684797369,745497994,658925375,724043584,666063024,646402881,804880797,732721483,751269643,841083651,932818729,874674641,1033975762,1053044051,1079655419,740616958,729269754,638401944,600592153,613167422,592257089,634514768,632755080,635616073,696749501,722476393,650584624,705436763,616162239,610114463,547536505,560253579,570722899,599027684,620706522,641214731,670110411,853442377,596195618,600986506,636340778,553222522,514065866,571831858,662701241,623122570,627146701,633275955,667598125,701685929,613566152,674158367,692030085,669489036,622127586,602343755,740683582,659291103,761068246,1170820102,783963236
Europa,Industrias Extractivas,25818,6040,11,140656,37322,3470,10992,8135,4603,28366,57960,8171,35591,15676,15082,95518,86443,123990,90768,67385,59703,100905,68157,103065,57323,95625,67243,239181,93960,152795,121143,86667,225450,113054,141775,210360,170374,190690,210851,233906,320815,84181,144819,216000,356522,336278,388974,140449,157089,114205,121918,209179,254092,179252,32799,89883,57704,77485,96518,98204,217862,111844,85821,149733,2037405,167447,33987,68903,273748,83926,18848,46353,43741,145134,37804,61672,15486,40259,44528,65693,24945,53799,141995,29012,37281,149234,105915,N/D,74840,16204,37264,73534,62519,47520,51062,248115,104623,230597,63159,185699,30833,33622,34448,25961,39058,125352,15198,36498,28715,47775,19804,30865,23494,29535,84596,41974,72818,39578,89410,57242,53887,83025,109626,15402,37052,361342,2946664,46745,47262,2238926,10109,44729,1009,43606,3156809,144868,77734,109255,90006,2433844,77574,97028,2248744,51934,50356,58280,57481,1031683,138789,53858,225722,103983,82159,50856,302308,596282,409434,52481,37320,541549,276171,384940,431237,238114,330577,72723,183267,8992,936282,498632,628919,368667,1887524,117348,58144,516916,739095,316587,254726,2913524,591542,528628,830955,431550,844492,850121,1107214,1029496,2913544,665293,363715,584384,592517,941932,1297066,582670,464811,416533,995000,462290,1133067,303335,1061485,992694,487960,416006,353298,334739,448900,571066,806098
Europa,Agricultura y Silvicultura,266,5000,7546,N/D,N/D,27360,32500,1105569,11603,39573,19081,6985530,20000,7876770,1543750,21000,N/D,3402103,11300,43916,N/D,15421,102637,24001,57827,127550,393514,3362812,128958,173934,85357,12208581,29676536,23464,977430,2357576,N/D,N/D,109209,408250,13382329,7232372,N/D,N/D,25831,18241,6661693,64882,179350,244035,201117,495701,179897,100506,290268,N/D,22880,23670,6472691,55668,110360,400846,272980,138919,449151,679715,356767,230326,6457,311282,10308302,10422500,45547,343120,498086,48245,506593,746663,552251,175686,84977,242143,728063,116028,390398,265654,414159,N/D,923816,572529,1160858,1242990,217713,375460,444389,393959,702708,182155,334025,523734,1326675,799437,977903,724558,500354,269173,90543,521487,244623,567953,362567,396312,665470,1471116,1011781,458325,364672,441677,863894,867277,1075302,2047569,2593316,1420503,6767221,19153657,19705744,1985715,175191,1263684,1075856,764589,1767370,4396662,6250054,16798385,33601050,3743296,16616417,16393140,17833147,1958719,1812483,1839453,1032148,5186227,9551687,3551443,2646376,4493213,874987,1840674,1350483,15891303,457131,1025051,608885,1700179,2764127,4858634,5101952,2470542,1857365,48051360,21586405,1305272,14474068,69085158,13976034,933229,4928301,4718946,5248685,60237,655003,384119,209302,652404,2344892,1591905,4693123,4734431,5431527,3219980,1923060,5343474,2146787,5068059,3450834,6270789,2941709,1065433,1849132,2742458,3361635,2857217,2348268,3306816,3223331,2251149,639986,1499381,3089080,700046,1548911,1803219,4948667,23595663,21710385,4047681,3534117
Europa,Servicios y Productos no Clasificados,4084527,5227151,16482340,7724501,12990378,10348956,16553377,16841233,6216819,5765724,6681601,5458164,6679099,7360733,2873196,1300211,663435,1050919,985147,1450398,1021400,959821,2138499,835018,1711983,810405,779662,1387424,613762,269839,1891180,730544,185614,136208,556047,310179,216415,304322,40533,280789,118414,394349,490878,707867,669134,632868,698334,235175,863647,197213,120418,587102,330474,203426,2663556,2240457,410647,167283,385763,4097272,247818,144699,2005862,1690400,828445,2148861,2141386,4142850,8620624,3813441,2954257,1604334,2514431,3843951,3987924,4581497,8213083,4808891,4157300,316021,1196217,927505,6371393,38665,35883,22095,46436,N/D,404751,273328,428518,1403636,2539415,7113438,7398866,2044833,2007423,1862205,2535976,3286433,3168675,2533364,3416158,2677110,5457889,10693932,6063694,4036181,2168396,4038757,6372010,7433907,6914658,2939361,1890990,2326837,4485783,8401713,8778223,7245765,5500882,5519914,5031951,4115562,5897233,10015918,6268387,3352596,3159122,7247363,2638050,1506258,4963324,11099784,4848865,2846728,7832811,11047964,12758376,9962561,10597781,3896516,6464225,8728046,7246542,6572461,13792833,8792704,17100681,13480631,9213569,10813688,20216556,12659271,10571676,10218102,7674220,6521907,8516560,10924685,14668788,14964892,13067088,13496112,12374783,22366569,11236051,6620994,7518230,8989978,10788702,8948595,12919909,21583625,19884474,25206864,15147871,13055332,16419161,10899730,8467634,9072475,12290618,11957146,12841014,12920648,17079863,10905455,13201335,13393795,12064441,13466552,8929063,11063659,12482163,8954127,9913698,10106670,10609138,10355887,13339897,13063473,11320754,9666527,8757535,14757768,11712790,11187419,11715064,12528637,22682788
Europa,"Ganadería, Apicultura, Caza, Pesca",N/D,417712,66054,N/D,439243,N/D,66054,439233,N/D,439233,66054,N/D,439233,N/D,N/D,505287,N/D,441,297744,66054,297744,N/D,N/D,N/D,281605,N/D,215551,N/D,75178,215551,N/D,10027,215551,75179,215551,N/D,N/D,215551,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,218,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,5043,9620,8750,28370,11042,10593,17527,6076,11954,11035,8276,11630,8217,7747,8203,10025,7344,7175,9602,8203,9210,6736,6535,7751,6714,11012,N/D,12404,11248,16786,12694,13057,10264,12949,14173,17373,12309,13157,9856,7911,6175,5755,5276,5276,N/D,102,306,306,1129,427,1267,1319,2354,556,5315,3632,3186,1224,960,872,908,1296,416,1082,1986,1962,1893,2531,1687,3763,648,888,1395,1779,2190,3675,1699,1220,2829,3428,1312,1179,748,3056,2281,2590,2744,3683,7249,3096,9120,4864,4828,7652,28192,24827,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,4273,526,1043,N/D,588,2505,410,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,115000,1467,2447,N/D,10,4004,15543,25415,19512,34251,34572,14784,8365,13243,12926,16458,58279,48903
Europa,( Blank ),N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,364936462,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D
Europa,Clasificación industrial,72265873,56886813,76370494,98683584,125679831,101064403,106756065,115835303,111041315,114901153,114347457,134866256,139537359,123240657,176251811,130367220,139597541,140228883,152400977,204700873,139971286,185066401,141989629,127320391,153191077,172785060,125542658,145900435,166048936,155255042,153041465,163494578,182305611,138654189,177027692,155605217,137611492,120960915,146181806,140923080,169002144,173379702,140164317,142609655,147587871,145497068,150350445,181988042,120775036,101669616,125682605,132987855,131331187,153310919,125567342,125768827,122816450,145792980,158480456,161822852,152435763,142568120,155555130,194540551,201826439,224683305,229588171,231449765,224443217,274224840,323897940,269803499,211294171,186146208,228461065,243196075,239812996,220923067,211652049,221041058,251542758,228048376,336961110,269601418,418239380,340846847,384152271,364936462,411297194,400107898,428852120,461914872,393485840,437374978,415979642,295817225,531558016,429294532,413596329,466500615,455787797,425817701,498326978,489920880,528895011,666310301,473534764,517182157,492975462,457634235,413066614,404891626,358153090,421553115,460465465,537532601,520212166,548399462,531382867,567764481,459583476,481992538,563472888,506521541,543853051,631373849,602310541,637816624,588554751,561278733,591257760,660133619,662044770,655563221,689039621,848949062,722041838,631194139,714771004,738083535,707839391,706832319,705104560,732547970,673980597,633429065,632921273,581744978,672178450,647133185,695114743,758265459,680579437,752649842,677401791,658270508,813598163,740996050,762587650,857408519,952865640,892495015,1049331452,1114829637,1113947184,764361522,755163140,714117088,623022699,623589261,608603011,648550976,652811198,657377283,717347122,748584292,666680892,719465359,635181544,625520665,561288804,574589701,589278504,614636770,636315088,660328974,690444275,870445387,615761331,621316383,651710643,568338891,525436578,586694907,679843572,635519031,639873478,647105984,682429598,714770798,628704517,689044068,707535655,680882875,632936776,619329113,757711580,694421850,794959053,1188025765,811035142
Africa,Industrias Manufactureras,173715,35814,20254,395823,851570,365204,3191033,526877,486844,266891,241057,1065239,6464,41649,1058070,2522174,512738,1273977,76565,262606,161425,29744,422956,32696,612218,1168126,1601436,3304900,1304110,3341933,2369018,2812683,2247562,435801,95027,651048,101496,174074,251741,165758,117854,325972,231300,99551,61738,34785,15368,226513,149298,252010,1527,36442,123908,52810,45356,602870,230616,172085,2075232,304185,182908,205794,793212,178776,522058,878598,580241,108676,188296,344974,283327,406730,861975,922217,1953463,1198875,2007630,2116510,891742,1527304,1740997,2107539,1121307,1175824,1872200,900324,863646,N/D,2358586,725820,925365,843459,940469,1007975,831136,912642,2015145,1976778,2795791,2099002,5311749,3254216,1564653,1665524,2615350,3964525,2942799,1513400,1516630,4045184,5011315,1446384,2992875,2776124,2860567,2849649,8447998,2838357,2214661,4828785,1345339,2511450,6764856,1144082,879683,1604063,2525767,1454568,2024749,1961149,1269462,4540634,6620364,6993864,1375807,26584668,1233367,1151141,1345556,8623762,10937471,7075388,8791678,12762572,13993888,13822861,12204845,9463994,6993424,4177303,4200762,3517425,3100316,4270529,2369552,2416018,2035012,2879505,2389876,2701551,2829440,1577501,2810823,2614555,1987180,4706152,2666976,4086629,2220857,1746356,2748648,4386691,5353165,2587682,3228426,2421284,2677752,2374320,2668352,2971532,4639184,8231719,11579871,16931481,15070621,20272876,23013163,37503218,28155470,45895550,31435430,49202939,35358688,20690435,29858073,51236470,27900889,37151255,38671412,26303975,29131188,41180356,44678000,26010523,31889905,21424078,20635773,15761086,14543701,13916559,17440690
Africa,Industrias Extractivas,5460,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,7,N/D,0,11500,46000,N/D,N/D,N/D,N/D,N/D,N/D,N/D,50295,105284,113250,48855,101640,131904,65237,34140,52980,N/D,N/D,N/D,N/D,N/D,10125,N/D,10080,N/D,N/D,10080,N/D,N/D,N/D,N/D,N/D,20899,N/D,N/D,N/D,N/D,N/D,1960,N/D,N/D,N/D,127000,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,63038,N/D,N/D,N/D,6091,N/D,N/D,6725,10873,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,9562,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,8674,N/D,N/D,N/D,N/D,5334,4666486,N/D,N/D,4101242,N/D,4322,5368265,N/D,N/D,4137512,9160580,N/D,243810,278640,286468,4243250,N/D,N/D,7180980,N/D,86,26,5919788,N/D,2108758,3560000,7653,4116135,222610,8636,N/D,4412961,2196550,2196550,N/D,4405483,4402765,100,50,5759904,3455022,10974274,N/D,7096951,2302120,319950,319950,136758,9204800,6906361,N/D,3730100,N/D,N/D,N/D,6061380,9418522,N/D,N/D,20790,N/D,41580,3,31185,N/D,41580,N/D,N/D,20790,N/D,N/D,N/D,29400,22400,N/D,N/D,44100,N/D,N/D,N/D,N/D,N/D,N/D,32200,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D
Africa,Agricultura y Silvicultura,N/D,N/D,N/D,24150,N/D,24150,N/D,N/D,N/D,N/D,59693,N/D,N/D,N/D,N/D,N/D,N/D,364255,N/D,N/D,N/D,26710,32000,N/D,32000,N/D,N/D,931,76518,25057,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,48255,87900,32344,N/D,22450,N/D,N/D,N/D,N/D,N/D,23540,N/D,45812,62400,22800,N/D,16800,N/D,16803,N/D,30960,222210,N/D,N/D,96328,98987,124909,68981,85974,63953,36600,236670,75546,109773,N/D,127047,N/D,99079,203801,86338,3,255632,N/D,2,21253,27641,46800,385200,N/D,370531,144002,97200,31200,31200,62403,N/D,17,165426,191848,26522,249322,173500,242900,269173,N/D,41855,2,N/D,29250,N/D,104400,30880,N/D,10,206239,99168,63286,138755,242763,109619,310479,77354,554700,1565918,657112,219370,284455,77095,42627,130776,72678,60604,129434,41592,89893,799152,721103,430961,434808,101660,700639,223233,620348,106140,171689,26140,118880,117725,1219886,1086273,512602,373440,193388,367020,134315,9,46540,N/D,46540,214509,392270,287295,199719,412250,182993,49080,171181,200435,123827,62700,109500,43802,141,125448,125466,146434,62868,4,311605,117377,84647,113379,650365,311995,225900,368664,343177,128070,N/D,N/D,N/D,N/D,N/D,7,262649,256545,280273,N/D,120288,N/D,N/D,44269,276542,381400,N/D,419900,399273,1165780,868727,609900,415254,340580
Africa,Servicios y Productos no Clasificados,31270,6,N/D,N/D,N/D,157,N/D,200,N/D,5,N/D,N/D,N/D,N/D,1920,N/D,N/D,N/D,N/D,N/D,1,1360,N/D,N/D,1,100,1,N/D,N/D,4,N/D,N/D,2,N/D,N/D,N/D,N/D,N/D,N/D,N/D,3,N/D,N/D,N/D,3,N/D,N/D,N/D,4,5,N/D,N/D,1,N/D,1022069,N/D,2,N/D,3961,1386,N/D,N/D,0,N/D,N/D,5,N/D,N/D,1,N/D,1,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,17,1454,N/D,4809,2324,11,2,N/D,460,2752,31,N/D,N/D,N/D,N/D,28,33,90,5340,6323,1047,1733,3769,N/D,2495,N/D,N/D,5088,1909,24714,1182,1125,1802,6153,51,6609,N/D,1,2550,4663,4273,3679,3590,20893,1500,2182,2295,2251,6002,2400,40875,19761,2618,900,8998,2435,1412,1085,16728,21123,910,1310,4900,2464,11386,7508,2774,6525,13086,8612,16146,6279,6788,6825,1119873,3443,191590,90641,450477,419701,531166,3911,8517,4234,4757,5622,1924,8247,4766,1924,786,1147,1591,3042,1353,3727,3449,6472,3951,3566,3293,4995,5308,4473,2538,3736,323674,6393,4755,75344,72107,195410,3860,15824,43576,58323,83165,1861,5019,108239,30325,3476,68291,71583,1292,3215
